Cusp_ID,Id,Cycloid_Nu,Confidence,CompassA,DirMean,CirVar,AveX,AveY,AveLen,Lat_dd,Long_dd
83,2,24,3,226.0416267,223.9583733,0,4516805.838,-281371.3156,10291.59805,-10.32,-14.328
84,3,24,1,75.67728002,14.32271998,0,4730721.891,-140744.9927,12834.36292,-5.162,-6.482
84,3,24,1,195.524111,254.475889,0,4720932.288,-147888.757,4942.834458,-5.424,-6.841
85,4,24,1,107.7446716,342.2553284,0,-4848699.193,-3425.968048,6945.011403,-0.126,2.155
85,4,24,1,225.881404,224.118596,0,-4860076.299,-7394.725986,12162.22688,-0.271,1.738
86,1,25,3,110.3764352,339.6235648,0,4789757.165,-301909.6379,7408.938715,-11.074,-4.317
86,1,25,3,255.5792269,194.4207731,0,4779636.833,-302504.9516,7171.272146,-11.096,-4.688
87,1,26,1,59.74356284,30.25643716,0,-4851900.658,-159490.7593,5513.574735,-5.85,2.038
87,1,26,1,315,135,0,-4857919.941,-159226.1755,5051.404171,-5.84,1.817
88,2,26,1,88.91907581,1.080924187,0,-4703402.965,-176953.2943,7012.720282,-6.49,7.484
88,2,26,1,326.3099325,123.6900675,0,-4709951.416,-173976.7258,5723.824097,-6.381,7.244
89,3,26,1,91.06091169,358.9390883,0,-4540353.16,-228414.8555,7144.989108,-8.378,13.465
89,3,26,1,318.2892427,131.7107573,0,-4548224.53,-224776.8274,8151.802611,-8.245,13.176
90,4,26,1,90,0,0,-4362486.658,-325186.4032,4101.049869,-11.927,19.989
90,4,26,1,337.5572466,112.4427534,0,-4367513.751,-321614.5211,6584.099112,-11.796,19.804
91,1,27,1,106.5348379,343.4651621,0,-4788466.677,-182112.6796,8831.910788,-6.68,4.364
91,1,27,1,329.5344551,120.4655449,0,-4795345.857,-177284.0241,5218.40946,-6.503,4.112
92,2,27,3,103.0693179,346.9306821,0,-4632432.754,-284551.6136,9126.417546,-10.437,10.087
92,2,27,3,344.9315118,105.0684882,0,-4639417.768,-277804.7251,8548.966229,-10.19,9.831
93,1,28,3,109.1481375,340.8518625,0,4344493.944,-464596.5223,15124.30071,-17.041,-20.649
93,1,28,3,249.145542,200.854458,0,4329412.664,-464695.7413,8918.674218,-17.045,-21.202
94,3,28,1,264.8055711,185.1944289,0,4732737.689,-596359.2859,6575.454631,-21.874,-6.408
94,3,28,1,117.3498758,332.6501242,0,4741865.833,-597351.4753,6478.928958,-21.91,-6.073
95,2,28,1,266.4236656,183.5763344,0,4666558.651,-585048.3257,9543.604471,-21.459,-8.836
95,2,28,1,129.9363831,320.0636169,0,4678365.706,-587925.6752,11128.4567,-21.564,-8.403
96,1,29,1,144.1178628,305.8821372,0,3543124.546,-764722.817,19185.18094,-28.049,-50.042
96,1,29,1,261.702855,188.297145,0,3525926.595,-757116.031,16042.95365,-27.77,-50.673
97,2,29,1,127.568592,322.431408,0,3783399.766,-843271.1512,16273.11749,-30.93,-41.229
97,2,29,1,256.2637317,193.7362683,0,3763886.706,-839798.488,15321.03921,-30.803,-41.945
98,3,29,1,124.6409475,325.3590525,0,4060220.632,-900818.1413,22109.48072,-33.041,-31.075
98,3,29,1,254.4071891,195.5928109,0,4039053.923,-897180.1132,14764.78117,-32.908,-31.852
99,4,29,1,147.3807569,302.6192431,0,4273706.736,-937694.5171,9816.605071,-34.394,-23.245
99,4,29,1,255.4655449,194.5344551,0,4257170.245,-935214.0434,18449.86358,-34.303,-23.852
100,1,30,3,71.87813975,18.12186025,0,3743149.946,-1062664.09,22967.41856,-38.977,-42.705
100,1,30,3,284.8586144,165.1413856,0,3684809.205,-1063656.279,20119.68481,-39.014,-44.845
101,2,30,3,76.9306821,13.0693179,0,4004889.532,-1058100.018,22816.04387,-38.81,-33.105
